Calles
Calle de Adrada de Haza (Madrid)
Calle de Adrián Andrés (Madrid)
Calle de Adrián Pulido (Madrid)
Calle Adriano (Talamanca de Jarama)
Calle de Adriano de Utrecht (Madrid)
Plaza de Adriano (Alcalá de Henares)
Calle del Adriático (Galapagar)
Calle de la Aduana (Madrid)
Carretera Aero Club (Madrid)
Calle del Aerolito (Madrid)
Calle de la Aeronáutica (Alcorcón)
Calle de la Aeronave (Madrid)
Calle del Aeropuerto (Coslada)
Camino del Aeropuerto (Madrid)
Calle Afanias (Torrelaguna)
Calle del Afecto (Madrid)
Calle las Afiladeras (San Martín de Valdeiglesias)
Camino de los Afligidos (Alcalá de Henares)
Plaza de los Afligidos (Alcobendas)
Calle del Afluente (Galapagar)
Calle de los Afluentes (Madrid)
Calle África (Alcorcón)
Calle África (Cobeña)
Calle del África (Navas del Rey)
Calle de África (Velilla de San Antonio)
Calle África (Villalbilla)
Calle Afrodita (Getafe)
Calle Afrodita (Meco)
Calle de Afrodita (Rivas-Vaciamadrid)
Calle Afrodita (Rozas de Madrid, Las)
Calle Afrodita (Torrejón de Ardoz)
Calle Afrodita (Valdemoro)
Calle de Afuera Pastores (Colmenar de Oreja)
Calle de Afuera Tinajeros (Colmenar de Oreja)
Calle de Afueras a San Roque (Madrid)
Calle de Afueras a Valverde (Madrid)
Puente de Agachadiza (Madrid)
Calle Agamenón (Rozas de Madrid, Las)
Calle de Agamí (Madrid)
"Calle de Agapito García ""Serranito"" (Colmenar Viejo)"
Calle Agapito Martínez (Torrelodones)
Calle de Agastia (Madrid)
Calle Ágata (Galapagar)
Calle Ágata (Getafe)
Calle Ágata (Griñón)
Calle de Ágata (Madrid)
Calle Ágata (Pozuelo de Alarcón)
Calle de Ágata Christie (Valdemoro)
Plaza de Ágata (Madrid)
Calle de Agatha Christie (Madrid)
Calle Agatha Christie (Rivas-Vaciamadrid)
Calle de Agave (Madrid)
Calle de Ages (Madrid)
Calle de Agila (Madrid)
Calle Ágora (Getafe)
Calle del Ágora (Valdemoro)
Calle de Agosto (Madrid)
Calle de Agracejo (Madrid)
Calle de Agramunt (Madrid)
Calle de Ágreda (Madrid)
Calle de los Agricultores (Colmenar Viejo)
Calle de Agricultura (Navalcarnero)
Calle de los Agrónomos (Alcorcón)
Plaza de Agua, Azucarillos y Aguardiente (Madrid)
Calle del Agua (Alpedrete)
Calle del Agua (Anchuelo)
Calle del Agua (Corpa)
Calle del Agua (Griñón)
Calle del Agua (Leganés)
Calle del Agua (Navalafuente)
Calle del Agua (Pinto)
Calle Agua (Pozuelo de Alarcón)
Calle del Agua (Santorcaz)
Calle del Agua (Valdilecha)
Calle Agua (Villaviciosa de Odón)
Paraje Agua de Riaza (Navalcarnero)
Calle Agua Marina (Pozuelo de Alarcón)
Plaza del Agua (Leganés)
Plaza del Agua (Parla)
Plaza del Agua (Santorcaz)
Travesia del Agua (Corpa)
Calle de Agua Viva (Fuenlabrada)
Calle del Aguacate (Galapagar)
Calle del Aguacate (Madrid)
Camino Aguachares (Arganda del Rey)
Camino de las Aguaderas (Tielmes)
Calle del Aguadero (Miraflores de la Sierra)
Calle Aguado (Valdemoro)
Plaza del Aguador (Madrid)
Calle los Aguadores (Camarma de Esteruelas)
Paseo de Aguadores (Alcalá de Henares)
Calle de Aguadulce (Madrid)
Calle Aguamarina (Galapagar)
Calle Aguamarina (Getafe)
Calle Aguamarina (Villanueva del Pardillo)
Calle Aguardienterías (Molinos, Los)
Calle de Aguarón (Madrid)
Avenida de las Aguas (Ajalvir)
Calle de las Aguas (Alpedrete)
Calle de las Aguas (Chapinería)
Calle de las Aguas (Coslada)
Calle de las Aguas (Fresno de Torote)
Calle de las Aguas (Madrid)
Calle de las Aguas (Manzanares El Real)
Calle de las Aguas (Rozas de Puerto Real)
Calle de Aguaviva (Madrid)
Camino de Agudín (Fuente el Saz de Jarama)
Camino de Agudín (Talamanca de Jarama)
Cañada de Agudín (Fuente el Saz de Jarama)
Paseo de Agudín (Talamanca de Jarama)
Calle Águeda (Venturada)
Calle de Águeda Díez (Madrid)
Plaza de Águeda Díez (Madrid)
Calle las Aguedas (Collado Villalba)
Calle de Aguetol (Madrid)
Calle del Águila (Alamo, El)
Calle Águila (Arganda del Rey)
Calle del Águila (Boalo, El)
Calle del Águila (Brea de Tajo)
Calle del Águila (Ciempozuelos)
Calle el Águila (Collado Villalba)
Calle del Águila (Escorial, El)
Calle del Águila (Fresno de Torote)
Calle del Águila (Fuenlabrada)
Calle Águila (Getafe)
Calle Águila (Leganés)
Calle del Águila (Madrid)
Calle del Águila (Manzanares El Real)
Calle el Águila (Molar, El)
Calle Águila (Molinos, Los)
Calle del Águila (Navacerrada)
Calle del Águila (Robledo de Chavela)
Calle del Águila (San Agustín del Guadalix)
Calle Águila (San Martín de la Vega)
Calle del Águila (San Sebastián de los Reyes)
Calle del Águila (Tielmes)
Calle Águila (Valdemorillo)
Calle Águila (Villanueva del Pardillo)
Camino del Águila (Tielmes)
Camino del Águila de San Jorge (Madrid)
Calle del Águila Real (Aldea del Fresno)
Calle del Águila Real (Batres)
Calle Águila Real (Rozas de Madrid, Las)
Ronda del Águila (Tres Cantos)
Calle de Aguilafuente (Madrid)
Calle de Aguilar de Campoo (Madrid)
Calle de Aguilar del Río (Madrid)
Lugar la Aguilara (Villamantilla)
Calle de Águilas (Arroyomolinos)
Calle de Águilas (Pinto)
Calle Águilas (Villanueva de la Cañada)
Jardin de las Águilas (Boalo, El)
Jardines de las Águilas (Boalo, El)
Calle de Aguileñas (Madrid)
Calle de Aguilón (Madrid)
Calle del Aguilón (Rascafría)
Calle de Aguirre (Madrid)
Calle de la Aguja (Madrid)
Calle de Agustín Betancourt (Getafe)
Calle de Agustín Calvo (Madrid)
Calle de Agustín de Betancourt (Madrid)
Calle de Agustín de Betancourt (Móstoles)
Calle de Agustín de Betancourt (Parla)
Pasaje de Agustín de Betancourt (Madrid)
Calle Agustín de Bethancourt (Aranjuez)
Calle Agustín de Bethencourt (Alcalá de Henares)
Calle Agustín de Foxá (Alcalá de Henares)
Calle de Agustín de Foxá (Madrid)
Calle de Agustín de Iturbide (Madrid)
Calle de Agustín de Rojas (Madrid)
Calle Agustín de Rojas (San Sebastián de los Reyes)
Calle de Agustín Durán (Madrid)
Calle de Agustín García Gasco (Villamanta)
Calle de Agustín García Malla (Madrid)
Plaza de Agustín González (Madrid)
Calle Agustín Ibarrola (Parla)
Calle de Agustín Lara (Madrid)
Calle Agustín Moreto (Meco)
Calle de Agustín Querol (Madrid)
Calle de Agustín Rodríguez Bonat (Madrid)
Calle Agustín Rodríguez Sahagún (Santos de la Humosa, Los)
Parque Agustín Rodríguez Sahagún (Madrid)
Calle del Agustín Sánchez Millán (Rivas-Vaciamadrid)
Calle de Agustín Viñamata (Madrid)
Calle de Agustín y Antonia (San Sebastián de los Reyes)
Calle Agustina de Aragón (Fuente el Saz de Jarama)
Calle Agustina de Aragón (Getafe)
Calle Agustina de Aragón (Guadarrama)
Calle de Agustina de Aragón (Madrid)
Calle de Agustina de Aragón (Móstoles)
Calle de Agustina de Aragón (San Martín de la Vega)
Calle Agustina de Aragón (Valdemoro)
Calle de Agustina Fierra (Madrid)
Calle Agustinas Recoletas (Colmenar de Oreja)
Calle Agustinas Recoletas-Prolongación (Colmenar de Oreja)
Calle del Agustinos (Leganés)
Calle de la Aguzanieves (Galapagar)
Calle de Ahijones (Madrid)
Pasaje de Ahillones (Madrid)
Avenida de Ahones (Madrid)
Plaza del Ahorro (Madrid)
Calle de los Ahumaos (Madrid)
Carretera A-I (Burgos) (San Sebastián de los Reyes)
Calle de Aigües Tortes (Getafe)
Calle de Aigüestortes (Rivas-Vaciamadrid)
Calle de Ailanto (Madrid)
Calle de Ainsa (Madrid)
Calle Airbus (Brunete)
Calle del Aire (Algete)
Calle del Aire (Madrid)
Calle Aire (Pozuelo de Alarcón)
Pasaje del Aire (Aranjuez)
Calle Airolo (Robledo de Chavela)
Calle Airosa (Valdetorres de Jarama)
Calle de Aizgorri (Madrid)
Calle Ajalpinos (Ajalvir)
Avenida Ajalvir (Alcalá de Henares)
Calle Ajalvir (Alcalá de Henares)
Calle Ajalvir (Cobeña)
Calle de Ajalvir (Madrid)
Calle Ajalvir (Paracuellos de Jarama)
Calle Ajalvir (Torrejón de Ardoz)
Camino Ajalvir (Alcalá de Henares)
Carretera Ajalvir (Alcalá de Henares)
Carretera Ajalvir (Daganzo de Arriba)
Carretera Ajalvir (Torrejón de Ardoz)
Travesia de Ajalvir (Cobeña)
Calle el Ajar (Daganzo de Arriba)
Calle del Ajenjo (Madrid)
Calle de Ajofrín (Madrid)
Paseo de los Alabarderos (Madrid)
Senda de los Alabarderos (Móstoles)
Calle del Alabastro (Galapagar)
Calle de Alabastro (Madrid)
Calle Alabastro (Pozuelo de Alarcón)
Calle de Aladierna (Madrid)
Calle Aladierna (Villanueva del Pardillo)
Calle Alagón (Colmenar de Oreja)
Calle del Alagón (Colmenarejo)
Calle de Alagón (Madrid)
Calle Alagón (Villaviciosa de Odón)
Calle de Alajate (Madrid)
Calle Alalpardo (Alcalá de Henares)
Calle Alalpardo (Fuente el Saz de Jarama)
Carretera de Alalpardo (Fuente el Saz de Jarama)
Calle del Alambique (Madrid)
Calle Alambrado (Santa María de la Alameda)
Camino de Alameda a Pinilla (Alameda del Valle)
Calle de la Alameda Alta (Tres Cantos)
Avenida de la Alameda (Fuente el Saz de Jarama)
Calle de la Alameda Baja (Tres Cantos)
Calle de la Alameda (Alcorcón)
Calle Alameda (Anchuelo)
Calle Alameda (Arroyomolinos)
Calle Alameda (Brea de Tajo)
Calle de la Alameda (Camarma de Esteruelas)
Calle de la Alameda (Carabaña)
Calle Alameda (Coslada)
Calle Alameda (Cubas de la Sagra)
Calle de la Alameda (Escorial, El)
Calle de la Alameda (Fresnedillas de la Oliva)
Calle de la Alameda (Fuentidueña de Tajo)
Calle de la Alameda (Humanes de Madrid)
Calle de la Alameda (Madrid)
Calle Alameda (Meco)
Calle de Alameda (Pinto)
Calle de la Alameda (Titulcia)
Calle Alameda (Torrejón de Velasco)
Calle de la Alameda (Torres de la Alameda)
Calle Alameda (Valdeolmos-Alalpardo)
Calle Alameda (Valdilecha)
Calle Alameda (Villalbilla)
Calle Alameda (Villanueva del Pardillo)
Calle Alameda Cero (Guadarrama)
Camino Alameda (Camarma de Esteruelas)
Camino de la Alameda (Rascafría)
Calle Alameda Cuarta (Guadarrama)
Calle de Alameda de Cables (Aranjuez)
Calle de la Alameda de la Fuente (Madrid)
Calle Alameda de la Pedriza (Valdemorillo)
Paseo de la Alameda de Osuna (Madrid)
Urbanizacion Alameda de Torrejón (Torrejón de Velasco)
Calle de Alameda del Valle (Madrid)
Paseo de la Alameda (Alcalá de Henares)
Paseo de la Alameda (Guadarrama)
Calle Alameda Primera (Guadarrama)
Calle Alameda Segunda (Guadarrama)
Calle Alameda Tercera (Guadarrama)
Travesia de la Alameda (Meco)
Calle de las Alamedas (Robledo de Chavela)
Travesia de las Alamedas (Robledo de Chavela)
Calle de la Alamedilla (Madrid)
Calle Alamedilla (Orusco de Tajuña)
Paraje Alamedilla (Colmenar de Oreja)
Paseo de las Alamedillas (Madrid)
Calle del Alamillo Alto (Chinchón)
Calle del Alamillo Bajo (Chinchón)
Calle del Alamillo (Alameda del Valle)
Calle del Alamillo (Alamo, El)
Calle del Alamillo (Collado Mediano)
Calle del Alamillo (Colmenar Viejo)
Calle del Alamillo (Madrid)
Calle Alamillo (Navalagamella)
